depth	min	max	median	mean
0	602	800	688	692
1	621	807	702	705
2	632	818	716	719
3	644	831	731	732
4	651	853	744	746
5	657	877	755	759
6	676	884	768	772
7	691	893	782	785
8	702	903	796	798
9	709	915	810	811
10	717	931	823	823
11	738	944	841	841
12	756	964	859	858
13	768	987	877	876
14	778	1015	894	894
15	785	1048	910	911
16	809	1056	926	928
17	825	1066	942	944
18	839	1080	959	960
19	848	1099	975	976
20	858	1126	991	993
21	873	1134	1002	1005
22	888	1144	1015	1017
23	899	1155	1027	1028
24	911	1169	1039	1040
25	919	1187	1051	1052
26	933	1196	1062	1064
27	944	1206	1075	1075
28	955	1217	1087	1087
29	963	1228	1099	1098
30	970	1244	1111	1110
31	988	1250	1121	1121
32	1002	1258	1132	1132
33	1014	1266	1144	1143
34	1023	1277	1156	1154
35	1031	1290	1167	1165
36	1051	1296	1177	1175
37	1062	1303	1187	1186
38	1071	1310	1197	1196
39	1082	1319	1208	1206
40	1089	1334	1218	1217
41	1106	1343	1228	1227
42	1116	1353	1239	1238
43	1126	1363	1250	1248
44	1137	1378	1259	1259
45	1141	1395	1269	1269
46	1157	1402	1279	1280
47	1168	1410	1290	1290
48	1177	1424	1300	1300
49	1186	1438	1311	1311
50	1193	1450	1321	1321
51	1209	1458	1331	1332
52	1222	1468	1341	1342
53	1232	1478	1352	1353
54	1240	1490	1363	1363
55	1247	1507	1373	1374
56	1263	1513	1383	1384
57	1276	1520	1393	1395
58	1290	1529	1404	1405
59	1299	1536	1415	1416
60	1308	1551	1426	1427
61	1323	1561	1438	1440
62	1338	1573	1452	1453
63	1347	1588	1466	1466
64	1356	1609	1479	1479
65	1361	1631	1493	1492
66	1378	1642	1504	1504
67	1389	1655	1515	1516
68	1400	1669	1527	1528
69	1407	1685	1539	1540
70	1414	1702	1550	1552
71	1431	1711	1563	1564
72	1445	1722	1575	1577
73	1455	1735	1587	1589
74	1466	1750	1598	1601
75	1474	1769	1609	1613
76	1494	1779	1621	1625
77	1509	1785	1633	1637
78	1524	1797	1645	1649
79	1535	1809	1657	1661
80	1542	1824	1669	1672
81	1560	1836	1683	1687
82	1576	1850	1698	1702
83	1587	1867	1714	1717
84	1595	1889	1729	1732
85	1600	1914	1742	1747
86	1622	1924	1759	1763
87	1639	1938	1775	1779
88	1651	1953	1792	1794
89	1659	1973	1809	1810
90	1667	1993	1824	1826
91	1686	2002	1840	1841
92	1704	2014	1856	1856
93	1716	2031	1872	1871
94	1726	2048	1887	1886
95	1735	2069	1901	1901
96	1759	2077	1915	1915
97	1778	2085	1930	1930
98	1795	2095	1944	1944
99	1807	2106	1960	1959
100	1819	2122	1975	1973
101	1838	2130	1990	1988
102	1854	2140	2004	2003
103	1869	2153	2019	2018
104	1881	2172	2034	2033
105	1890	2195	2048	2048
106	1907	2204	2061	2061
107	1920	2213	2073	2073
108	1932	2223	2086	2085
109	1943	2237	2098	2097
110	1953	2254	2110	2109
111	1970	2261	2123	2122
112	1985	2272	2136	2135
113	2001	2286	2149	2147
114	2010	2299	2162	2160
115	2020	2320	2174	2173
116	2041	2326	2187	2185
117	2058	2334	2199	2198
118	2073	2343	2212	2210
119	2086	2355	2225	2222
120	2094	2371	2238	2235
121	2111	2377	2249	2247
122	2124	2386	2261	2259
123	2136	2398	2274	2271
124	2145	2413	2286	2283
125	2152	2434	2298	2295
126	2165	2440	2308	2305
127	2176	2451	2318	2316
128	2187	2462	2328	2327
129	2193	2473	2339	2337
130	2201	2493	2348	2348
131	2221	2500	2360	2359
132	2237	2509	2371	2371
133	2248	2520	2383	2382
134	2260	2535	2394	2394
135	2268	2553	2404	2405
136	2289	2559	2415	2417
137	2305	2568	2426	2428
138	2318	2580	2437	2439
139	2330	2593	2448	2450
140	2337	2606	2459	2462
141	2353	2614	2473	2474
142	2364	2621	2486	2486
143	2374	2632	2499	2499
144	2380	2644	2511	2511
145	2388	2661	2523	2524
146	2405	2671	2535	2536
147	2422	2678	2548	2548
148	2432	2688	2561	2561
149	2442	2701	2573	2573
150	2450	2718	2586	2585
151	2467	2726	2598	2597
152	2484	2734	2611	2609
153	2496	2743	2623	2621
154	2506	2754	2635	2633
155	2513	2770	2647	2645
156	2530	2782	2660	2659
157	2540	2794	2675	2673
158	2550	2812	2688	2687
159	2559	2833	2703	2701
160	2566	2858	2716	2714
161	2591	2866	2727	2728
162	2611	2875	2741	2741
163	2629	2886	2752	2755
164	2639	2902	2766	2768
165	2649	2923	2778	2782
166	2666	2930	2789	2792
167	2679	2940	2798	2803
168	2689	2951	2809	2814
