depth	min	max	median	mean
0	472	638	557	558
1	487	648	569	570
2	499	659	582	582
3	508	676	596	594
4	516	697	607	606
5	521	720	619	618
6	537	728	630	630
7	552	738	641	642
8	562	751	652	654
9	571	765	664	666
10	576	783	675	678
11	598	793	690	693
12	614	810	706	708
13	626	831	721	723
14	635	854	736	738
15	642	884	750	754
16	663	891	765	768
17	680	902	781	783
18	691	914	796	798
19	700	929	811	813
20	708	948	826	827
21	722	957	838	839
22	733	967	849	850
23	743	979	861	861
24	750	992	872	873
25	757	1011	883	884
26	771	1019	894	895
27	782	1028	905	906
28	791	1039	917	917
29	799	1053	928	928
30	806	1068	939	939
31	820	1075	949	949
32	835	1083	959	960
33	847	1091	970	971
34	856	1104	981	981
35	863	1116	992	992
36	884	1123	1002	1003
37	900	1131	1013	1014
38	912	1139	1025	1025
39	922	1150	1036	1036
40	930	1164	1047	1047
41	944	1171	1057	1057
42	954	1181	1066	1067
43	963	1192	1076	1077
44	971	1204	1086	1087
45	978	1223	1096	1097
46	991	1230	1106	1107
47	1000	1237	1117	1117
48	1008	1245	1128	1128
49	1015	1257	1138	1138
50	1022	1272	1148	1148
51	1036	1278	1159	1158
52	1051	1286	1169	1169
53	1063	1294	1179	1179
54	1073	1304	1190	1189
55	1080	1318	1199	1199
56	1098	1324	1209	1209
57	1111	1331	1219	1219
58	1121	1341	1230	1230
59	1129	1352	1240	1240
60	1137	1365	1251	1250
61	1149	1374	1262	1261
62	1162	1385	1273	1273
63	1171	1399	1284	1284
64	1178	1415	1295	1296
65	1183	1435	1306	1307
66	1199	1442	1318	1319
67	1212	1454	1330	1331
68	1222	1467	1342	1343
69	1229	1482	1354	1355
70	1237	1502	1366	1367
71	1254	1511	1377	1378
72	1268	1520	1388	1389
73	1277	1532	1400	1401
74	1286	1548	1411	1412
75	1293	1564	1423	1423
76	1312	1573	1433	1435
77	1327	1579	1445	1446
78	1337	1589	1456	1457
79	1347	1605	1468	1469
80	1356	1620	1479	1480
