Depth,Mg/Ca,d18O VPDB G. ruber white,Author
[cm],[mmol/mol],[permil],
190,4.79,-1.69,LoDico et al. (2006)
190.5,4.84,-1.57,LoDico et al. (2006)
191,4.9,-1.41,LoDico et al. (2006)
191.5,4.8,-1.39,LoDico et al. (2006)
192,5.35,-1.6,LoDico et al. (2006)
192.5,4.81,-1.66,LoDico et al. (2006)
193,5.16,-2.01,LoDico et al. (2006)
193.5,4.87,-1.81,LoDico et al. (2006)
194,4.7,-1.58,LoDico et al. (2006)
194.5,4.84,-1.74,LoDico et al. (2006)
195,4.91,-1.69,LoDico et al. (2006)
195.5,4.75,-1.81,LoDico et al. (2006)
196.5,4.84,-1.9,LoDico et al. (2006)
197,5.03,-1.45,LoDico et al. (2006)
197.5,5.02,-1.76,LoDico et al. (2006)
198,5.28,-1.61,LoDico et al. (2006)
198.5,5.08,-1.88,LoDico et al. (2006)
199,4.78,-1.79,LoDico et al. (2006)
199.5,5.66,-1.52,LoDico et al. (2006)
200,5.07,-1.71,LoDico et al. (2006)
200.5,5.25,-1.78,LoDico et al. (2006)
201,5.46,-1.35,LoDico et al. (2006)
201.5,4.9,-1.55,LoDico et al. (2006)
202,5.39,-1.6,LoDico et al. (2006)
202.5,5.07,-1.83,LoDico et al. (2006)
203,5.24,-1.89,LoDico et al. (2006)
203.5,5.12,-1.89,LoDico et al. (2006)
204,5.22,-2.07,LoDico et al. (2006)
204.5,5.19,-1.51,LoDico et al. (2006)
205,5.12,-1.9,LoDico et al. (2006)
205.5,5.25,-1.85,LoDico et al. (2006)
206,5.21,-2.34,LoDico et al. (2006)
206.5,5.34,-2.01,LoDico et al. (2006)
207,5.54,-1.99,LoDico et al. (2006)
207.5,5.28,-1.74,LoDico et al. (2006)
208,5.06,-1.74,LoDico et al. (2006)
208.5,4.85,-1.65,LoDico et al. (2006)
209,4.89,-1.86,LoDico et al. (2006)
209.5,5.05,-1.73,LoDico et al. (2006)
210,4.99,-1.56,LoDico et al. (2006)
210.5,4.76,-1.97,LoDico et al. (2006)
211,4.79,-1.72,LoDico et al. (2006)
211.5,5.15,-1.79,LoDico et al. (2006)
212,5.12,-1.96,LoDico et al. (2006)
212.5,4.81,-1.66,LoDico et al. (2006)
213,5.13,-1.68,LoDico et al. (2006)
213.5,4.84,-1.78,LoDico et al. (2006)
214,4.68,-1.71,LoDico et al. (2006)
214.5,4.47,-1.54,LoDico et al. (2006)
215,4.61,-1.54,LoDico et al. (2006)
216,4.7,-1.29,LoDico et al. (2006)
216.5,4.9,-1.88,LoDico et al. (2006)
217,4.77,-1.4,LoDico et al. (2006)
217.5,4.56,-1,LoDico et al. (2006)
218,4.5,-1.36,LoDico et al. (2006)
218.5,4.77,-1.53,LoDico et al. (2006)
219,5.05,-1.77,LoDico et al. (2006)
219.5,4.75,-1.29,LoDico et al. (2006)
220,5.06,-1.45,LoDico et al. (2006)
220.5,4.69,-1.89,LoDico et al. (2006)
221,4.99,-2.12,LoDico et al. (2006)
221.5,4.67,-1.49,LoDico et al. (2006)
222,4.67,-1.36,LoDico et al. (2006)
222.5,5.36,-1.36,LoDico et al. (2006)
223,4.75,-1.36,LoDico et al. (2006)
223.5,4.7,-1.42,LoDico et al. (2006)
224,5.04,-1.31,LoDico et al. (2006)
224.5,5.08,-1.73,LoDico et al. (2006)
225,5.13,-1.62,LoDico et al. (2006)
225.5,4.95,-1.93,LoDico et al. (2006)
226,4.91,-1.76,LoDico et al. (2006)
226.5,5.15,-2.19,LoDico et al. (2006)
227,5.09,-1.94,LoDico et al. (2006)
227.5,5.04,-2.6,LoDico et al. (2006)
228,5.15,-2.02,LoDico et al. (2006)
228.5,4.8,-1.97,LoDico et al. (2006)
229,5.03,-1.91,LoDico et al. (2006)
229.5,5.07,-2.36,LoDico et al. (2006)
230,4.83,-2.02,LoDico et al. (2006)
230.5,5.14,-1.84,LoDico et al. (2006)
231,5.13,-1.99,LoDico et al. (2006)
231.5,5.06,-1.9,LoDico et al. (2006)
232,5.06,-1.87,LoDico et al. (2006)
232.5,4.97,-1.53,LoDico et al. (2006)
233,4.75,-1.28,LoDico et al. (2006)
233.5,4.91,-1.37,LoDico et al. (2006)
234,4.96,-1.61,LoDico et al. (2006)
234.5,4.83,-1.42,LoDico et al. (2006)
235,4.74,-1.73,LoDico et al. (2006)
235.5,4.93,-1.58,LoDico et al. (2006)
