Age [ka],r (GoM/GRIP d18O),r (GoM/GRIP T),r (GoM/PaTh),r (GoM/Badgeley),p (GoM/GRIP d18O),p (GoM/GRIP T),p (GoM/PaTh),p (GoM/Badgeley),npoints (GoM/GRIP d18O),npoints (GoM/GRIP T),npoints (GoM/PaTh),npoints (GoM/Badgeley)
0.1,,,,,,,,,,,,
0.2,0.0,0.0,,0.0,,,,,1.0,1.0,,1.0
0.3,0.9000355961842276,0.8869020792020902,,0.7292233229906769,0.28708059343574777,0.30570546239852764,,0.47976308953489627,3.0,3.0,,3.0
0.4,0.8384554167573156,0.813060971879941,,-0.07450852568135818,0.07602535925921512,0.0942572297337487,,0.9052206481221536,5.0,5.0,,5.0
0.5,0.7173608870158338,0.6940375617404413,,0.07321089496928951,0.06956606001640975,0.08364855663936935,,0.8760461346472499,7.0,7.0,,7.0
0.6,0.7016985458044708,0.6951260676096074,0.0,0.24866622047956377,0.03513057907911148,0.037644868583534226,1.0,0.5188038956220121,9.0,9.0,2.0,9.0
0.7,0.4417176517296927,0.4509364558771114,0.0,0.1412966450936448,0.17377348174077972,0.16391024947078917,1.0,0.6785802907991232,11.0,11.0,2.0,11.0
0.8,0.2670954215125267,0.2814610402382692,0.9676945754966682,0.06773529741489871,0.3776812514555693,0.3515450125201358,0.03230542450333184,0.8259757195117026,13.0,13.0,4.0,13.0
0.9,0.24064626568448216,0.2514418744965619,0.9676945754966682,0.0689312568046334,0.3876084283558735,0.3659990950301685,0.03230542450333184,0.8071547634550773,15.0,15.0,4.0,15.0
1.0,0.046475341423456676,0.03463978321709959,0.632767564720606,-0.02973367419959768,0.8594129221927993,0.894997501913217,0.2519078056433197,0.909807614495524,17.0,17.0,5.0,17.0
1.1,0.046475341423456676,0.03463978321709959,0.632767564720606,-0.02973367419959768,0.8594129221927993,0.894997501913217,0.2519078056433197,0.909807614495524,17.0,17.0,5.0,17.0
1.2,0.05361907499339664,0.03545760018611061,0.632767564720606,0.0010696655851898163,0.8494775857474943,0.9001663475386819,0.2519078056433197,0.9969813329658315,15.0,15.0,5.0,15.0
1.3,-0.22330274845133805,-0.2611124576914299,0.632767564720606,-0.07529641339382873,0.4633491200068559,0.388859908189479,0.2519078056433197,0.8068624344148057,13.0,13.0,5.0,13.0
1.4,-0.6285761379112372,-0.6348794274030256,0.632767564720606,-0.3402982196389311,0.03832040629326154,0.035851713422603036,0.2519078056433197,0.30583833433538843,11.0,11.0,5.0,11.0
1.5,-0.882928017171718,-0.8993597566100889,0.6090552279641174,-0.6114972817239551,0.0016092623380855936,0.0009637422336607066,0.39094477203588274,0.08015376577942639,9.0,9.0,4.0,9.0
1.6,-0.8564164081356368,-0.8857534899878448,0.9929880325854297,-0.6016817346561698,0.013866449313972682,0.00796066825441349,0.07543435197178522,0.15291894813933293,7.0,7.0,3.0,7.0
1.7,-0.9233671945433304,-0.9325654425749059,1.0,-0.5365639901253615,0.025170959369234074,0.020807275142802367,0.0,0.35119231546342417,5.0,5.0,2.0,5.0
1.8,-0.9553261982663165,-0.9558035392012242,0.0,-0.3293713117526279,0.19100809938490595,0.18997721253785757,,0.7863264319345238,3.0,3.0,1.0,3.0
1.9,0.0,0.0,0.0,0.0,,,,,1.0,1.0,1.0,1.0
2.0,,,,,,,,,,,,
2.1,,,,,,,,,,,,
2.2,,,,,,,,,,,,
2.3,,,,,,,,,,,,
2.4,,,,,,,,,,,,
2.5,,,,,,,,,,,,
2.6,,,,,,,,,,,,
2.7,,,,,,,,,,,,
2.8,,,,,,,,,,,,
2.9,,,,,,,,,,,,
3.0,,,,,,,,,,,,
3.1,,,,,,,,,,,,
3.2,,,,,,,,,,,,
3.3,,,,,,,,,,,,
3.4,,,,,,,,,,,,
3.5,,,,,,,,,,,,
3.6,,,,,,,,,,,,
3.7,,,,,,,,,,,,
3.8,,,,,,,,,,,,
3.9,,,,,,,,,,,,
4.0,,,,,,,,,,,,
4.1,,,,,,,,,,,,
4.2,,,,,,,,,,,,
4.3,,,,,,,,,,,,
4.4,,,,,,,,,,,,
4.5,,,,,,,,,,,,
4.6,,,,,,,,,,,,
4.7,,,,,,,,,,,,
4.8,,,,,,,,,,,,
4.9,,,,,,,,,,,,
5.0,,,,,,,,,,,,
5.1,,,,,,,,,,,,
5.2,,,,,,,,,,,,
5.3,,,,,,,,,,,,
5.4,,,,,,,,,,,,
5.5,,,,,,,,,,,,
5.6,,,,,,,,,,,,
5.7,,,,,,,,,,,,
5.8,,,,,,,,,,,,
5.9,,,,,,,,,,,,
6.0,,,,,,,,,,,,
6.1,,,,,,,,,,,,
6.2,,,,,,,,,,,,
6.3,,,,,,,,,,,,
6.4,,,,,,,,,,,,
6.5,0.0,0.0,,0.0,,,,,1.0,1.0,,1.0
6.6,-0.8158271509536762,-0.8271481125756042,0.0,-0.8563369348286776,0.39256410016516413,0.37992349885925153,,0.3454694565190123,3.0,3.0,1.0,3.0
6.7,0.20320008005022586,0.38659673616433105,0.0,-0.2600957056876338,0.7430692687645616,0.5203216779929959,1.0,0.6726085614043221,5.0,5.0,2.0,5.0
6.8,-0.033730132736861526,0.03743113962153681,0.0,-0.3295782590722124,0.94277051678443,0.9364994306074386,1.0,0.4703763126307374,7.0,7.0,2.0,7.0
6.9,0.1967285894037353,0.2513930641758041,0.7596380898739132,-0.4684202908256138,0.6119293548657118,0.514076730233785,0.24036191012608663,0.20345814087738678,9.0,9.0,4.0,9.0
7.0,0.23573415272154363,0.2856464695243298,0.7596380898739132,-0.577962580744182,0.4852902768767181,0.3945005880202691,0.24036191012608663,0.06255826212034533,11.0,11.0,4.0,11.0
7.1,0.15883696736740444,0.19460232560546267,0.7596380898739132,-0.17181190653928397,0.6042487881897471,0.5240682393351048,0.24036191012608663,0.5746207624891752,13.0,13.0,4.0,13.0
7.2,0.15663761756800731,0.1887229738577913,0.6670809080084424,-0.05805389028710587,0.577195783222651,0.5005631639091661,0.14780311866143186,0.8371754318227033,15.0,15.0,6.0,15.0
7.3,0.0014025503217894864,0.0440467467930621,0.055410086801861776,-0.1897290203728763,0.9957374510021991,0.866696044584131,0.9060772545837087,0.46578598832576945,17.0,17.0,7.0,17.0
7.4,-0.033473188176976476,0.014866911338316816,-0.09326132826049745,-0.18885163746525402,0.8917910899995952,0.9518315889450651,0.8261463097645453,0.43874930482892094,19.0,19.0,8.0,19.0
7.5,0.1283369660772795,0.17052097401176144,-0.09326132826049745,-0.01109238032492556,0.6005540085094022,0.4852013746779439,0.8261463097645453,0.9640521699290513,19.0,19.0,8.0,19.0
7.6,-0.09475428437866112,-0.07923413176075098,-0.1922595284899995,-0.09841325811917952,0.6996043323056105,0.7471240516608106,0.7151640215593748,0.6885480187573103,19.0,19.0,6.0,19.0
7.7,-0.4962761554213401,-0.49687086440465716,-0.1922595284899995,-0.48763553727536835,0.030679743517940894,0.03044915254345932,0.7151640215593748,0.034185980485641324,19.0,19.0,6.0,19.0
7.8,-0.276115867327944,-0.2782687825829564,0.20199286816457954,-0.14368660748504813,0.25251060343301035,0.2486788154629821,0.6640388639311492,0.5573015833350701,19.0,19.0,7.0,19.0
7.9,-0.3295763059485935,-0.3526223388350845,0.25307253874245705,-0.11591864717103881,0.168226973972353,0.13867405091057125,0.6284952970819335,0.6365175388585551,19.0,19.0,6.0,19.0
8.0,-0.31363807855608833,-0.3314351041897561,0.23153681345707777,-0.1361985547981044,0.19101135089079224,0.16569626883070054,0.5811345966894432,0.5782290701868213,19.0,19.0,8.0,19.0
8.1,-0.2090306488417704,-0.22805902801384073,-0.05160696576290835,-0.13662679838226885,0.39043284130912115,0.3477022179830739,0.8951002048436667,0.5770232298819864,19.0,19.0,9.0,19.0
8.2,-0.20170347063672323,-0.216378381453467,-0.057912796444950745,-0.1365060403180234,0.40762600816861805,0.37360127153885936,0.8916560539569904,0.5773631491737626,19.0,19.0,8.0,19.0
8.3,-0.080975065898317,-0.0997874725238212,0.4894980271154537,-0.12064842324849981,0.7417463703550944,0.6844109877591467,0.3243968589321384,0.6227224762695852,19.0,19.0,6.0,19.0
8.4,0.03138460066855975,0.0033613094237767093,0.4894980271154537,-0.0799890856977521,0.8985085613480361,0.989103733094759,0.3243968589321384,0.7447906370991042,19.0,19.0,6.0,19.0
8.5,0.03870679089115623,0.010172831633309433,0.4894980271154537,-0.1410053212247596,0.8749903000459593,0.9670306023627907,0.3243968589321384,0.5647565659964554,19.0,19.0,6.0,19.0
8.6,0.028739258221323633,-0.0018846095947861762,0.4894980271154537,-0.12004271220893856,0.9070261486653617,0.9938905931393875,0.3243968589321384,0.6244825369114408,19.0,19.0,6.0,19.0
