Age [ka],d18O GRIP,T GRIP,d18O GoM,Pa/Th
0.05,-35.278275862068966,-32.0725885689655,,
0.1,-35.189803921568625,-31.911455147058813,,
0.15,-35.174468085106376,-31.84449480851063,,
0.2,-35.25065217391304,-31.941628874999992,,
0.25,-35.236,-31.931859377777766,,
0.3,-35.270476190476195,-31.992737690476172,,0.054
0.35,-35.131707317073165,-31.745728097560956,,0.054
0.4,-35.016666666666666,-31.534384583333317,,
0.45,-35.2409756097561,-31.89379064634144,,
0.5,-35.30048780487805,-31.9967647317073,,
0.55,-35.47853658536585,-32.37348776829267,,0.054
0.6,-35.554871794871794,-32.49872842307691,,0.054
0.65,-35.328717948717944,-32.052213320512806,1.2680797963659685,
0.7,-35.249459459459466,-31.92570834459458,1.3612067429871209,
0.75,-35.43578947368422,-32.24215285526314,1.2491278668807047,
0.8,-35.58923076923077,-32.50731716666665,1.0356285769772133,
0.85,-35.41236842105263,-32.17858841447368,1.061438605995021,
0.9,-35.29684210526315,-31.974334842105243,1.129894045477727,
0.95,-35.11666666666667,-31.72829526282049,1.3017864327296569,
1.0,-34.99589743589743,-31.5211020128205,1.3112858730511079,0.057
1.05,-35.316052631578955,-32.0083600855263,1.2809547364746807,0.057
1.1,-35.4171052631579,-32.21076442763155,1.3503348647187288,
1.15,-35.04342105263158,-31.64496263815787,1.1850001265036327,
1.2,-34.931315789473686,-31.451160006578938,1.1688189558392255,0.051
1.25,-35.12432432432431,-31.727026716216194,1.1973593790610737,0.051
1.3,-35.20297297297298,-31.839353736486473,1.16108033125153,
1.35,-35.163947368421056,-31.800504519736837,1.1903653165189636,
1.4,-35.36710526315789,-32.15218841447368,1.2556808624284395,
1.45,-35.50918918918919,-32.39959035135135,1.390706097501352,0.054
1.5,-35.19694444444444,-31.872803937499985,,0.054
1.55,-35.02611111111111,-31.533896763888873,,
1.6,-35.207027027027024,-31.849668391891875,,
1.65,-35.25666666666667,-31.941374499999988,,
1.7,-35.28828571428571,-31.971393264285695,,
1.75,-35.33694444444445,-32.06668779861109,,
1.8,-35.13057142857143,-31.69748587857142,,
1.85,-34.838,-31.196929149999985,,
1.9,-34.85972972972973,-31.267353141891874,,0.053
1.95,-34.92,-31.3687405135135,,0.053
2.0,-35.093888888888884,-31.682562069444437,,
2.05,-35.25257142857143,-31.947240328571414,,
2.1,-35.122352941176466,-31.682850235294108,,
2.15,-34.978529411764704,-31.497952610294107,,
