Age [ka],Mississippi drainage-basin Area [km2],Ice-covered drainage-basin area [km2],Qprecip [m3/s],Qice [m3/s],Qprecip over ice sheet [m3/s]
900,3297624.94,0.00,82423.44,0.00,0.00
5700,3297624.94,0.00,78055.54,0.00,0.00
6300,3297624.94,0.00,77760.70,0.00,0.00
6900,3297624.94,0.00,79118.07,0.00,0.00
7400,3297624.94,0.00,78097.05,0.00,0.00
7800,3297624.94,0.00,77109.78,0.00,0.00
8000,3297624.94,0.00,76693.70,0.00,0.00
8400,3297624.94,0.00,76584.46,0.00,0.00
8500,3297624.94,0.00,76557.15,0.00,0.00
8600,3297624.94,0.00,76803.74,0.00,0.00
8900,3297624.94,0.00,77543.51,0.00,0.00
9500,3297624.94,0.00,78679.82,0.00,0.00
10100,3297624.94,0.00,79365.14,0.00,0.00
10800,4277645.89,462661.21,90616.91,7207.45,6490.00
11600,3360767.28,8353.13,80088.26,19.53,134.23
12000,3297624.94,2137.52,75431.48,18.66,35.79
12300,3297624.94,2137.52,74526.49,22.39,34.39
12900,4831679.18,959127.28,89811.30,12527.53,7780.72
13300,6233966.14,2386238.17,111644.22,42206.69,27439.29
13900,5850364.21,2485587.35,102721.48,107086.49,25894.72
14700,7473754.28,4023242.37,128533.92,22930.61,41927.82
15500,6195877.06,3203126.03,103013.67,6504.24,24816.08
16300,7736187.06,4647044.62,122585.61,9768.39,42028.80
17000,7736187.06,4986748.83,121198.45,9545.08,43849.74
17600,7736187.06,5160707.13,120823.66,9490.17,45909.67
18800,6522308.14,3965909.25,104654.89,5487.20,34138.01
20500,7537029.64,5012212.28,118135.39,4286.88,47738.32
